sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
2565,-100,0,0,0,3,3,0,0,4,10
2570,-169,0,0,1,3,3,0,2,4,13
2575,-196,0,0,1,3,3,0,2,5,14
2580,-225,0,0,1,3,4,0,2,5,15
2585,-169,0,0,1,1,4,0,2,5,13
2590,-64,0,0,1,0,4,0,2,1,8
2595,-64,0,0,1,0,4,0,2,1,8
2600,-49,0,0,1,0,4,0,2,0,7
2605,-49,0,0,1,0,4,0,2,0,7
2610,-49,0,0,1,0,4,0,2,0,7
2615,-49,0,0,1,0,4,0,2,0,7
2620,-9,0,0,1,0,0,0,2,0,3
2625,-16,0,0,1,0,0,0,2,1,4
2630,-36,0,0,1,0,0,0,4,1,6
2635,-64,0,0,1,0,0,0,6,1,8
2640,-100,0,0,2,0,0,0,6,2,10
2645,-100,0,0,2,0,0,0,6,2,10
2650,-64,0,0,1,0,1,0,4,2,8
2655,-16,0,0,0,1,1,0,0,2,4
2660,-36,0,1,0,2,1,0,0,2,6
2665,-36,0,1,0,2,1,0,0,2,6
2670,-49,0,1,0,2,1,1,0,2,7
2675,-25,0,1,1,0,1,1,0,1,5
2680,-36,0,1,2,0,2,1,0,0,6
2685,-36,0,1,2,0,2,1,0,0,6
2690,-64,0,3,2,0,2,1,0,0,8
2695,-64,0,3,2,0,2,1,0,0,8
2700,-100,0,3,2,0,2,1,1,1,10
2705,-81,0,3,1,0,2,2,0,1,9
2710,-64,0,3,0,0,2,2,0,1,8
2715,-64,0,3,0,0,2,2,0,1,8
2720,-81,0,3,1,0,2,2,0,1,9
2725,-100,0,3,0,1,2,3,0,1,10
2730,-121,0,3,0,1,2,4,0,1,11
2735,-121,0,3,0,0,2,5,0,1,11
2740,-100,0,3,0,0,2,5,0,0,10
2745,-100,0,3,0,0,2,5,0,0,10
2750,-144,1,3,0,1,2,5,0,0,12
2755,-121,1,3,0,0,2,5,0,0,11
2760,-121,1,3,0,0,2,5,0,0,11
2765,-49,1,1,0,0,0,5,0,0,7
2770,-81,1,0,1,0,1,6,0,0,9
2775,-81,1,0,1,0,0,6,0,1,9
2780,-100,1,0,1,0,0,6,0,2,10
2785,-100,1,0,1,0,0,6,0,2,10
2790,-100,1,0,1,0,0,6,0,2,10
2795,-121,2,0,1,0,0,6,0,2,11
2800,-64,0,0,2,0,0,4,0,2,8
2805,-25,0,0,2,0,0,1,0,2,5
2810,-36,0,0,2,2,0,0,0,2,6
2815,-49,0,0,2,2,0,0,0,3,7
2820,-49,0,0,2,2,0,0,0,3,7
2825,-81,0,2,2,2,0,0,0,3,9
2830,-49,0,2,2,0,0,0,1,2,7
2835,-49,0,2,2,0,0,0,2,1,7
2840,-49,0,2,2,0,0,0,3,0,7
2845,-64,0,2,2,0,1,0,3,0,8
2850,-100,1,2,2,0,1,1,3,0,10
2855,-81,2,2,1,0,1,1,2,0,9
2860,-49,2,3,0,0,1,1,0,0,7
2865,-81,2,3,0,0,1,1,0,2,9
2870,-100,2,3,0,0,1,2,0,2,10
